id,Title,key,evaluation
1,The Kansai 2018 R4,か弱い女性像,2.333333333
2,The Kansai 2019 R1,酩酊弁護の廃止,2
3,【CJS入門レクチャー①】mixidea高校定期練習【prisonerに選挙権を与えるべきか】,受刑者の投票許可,2
4,【HPDU直前追い込み練習!!】mixidea定期高校練習【議会に女性クオータ導入の是非】,議会女性枠の導入,2
5,【The Kansai 2023 】 Round 1うりぼーA VS APカード【RFD: Tota】,医療特許の公開,3
6,【The関西GFモーションを高校生にやってもらった】mixidea高校生定期練習,禁欲的生活,2.666666667
7,【gangの構成員を逮捕!？】mixidea高校定期練習【あんちゃん、野球やろっか】,暴力団の違法化,2
8,【mixidea高校定期練習】 May's Tournamement優勝候補 vs 富士見高校+第五,高齢の親との同居,3
9,【tiger parenting】mixidea高校定期練習,厳格な子育ての禁止,2.333333333
10,【ゲスト: 大村さん、榎本さん】mixidea高校定期練習【2nd スピーカーの役割レクチャー + ラウンド】,テレワーク,1.666666667
11,【スマホでpolice brutalityを潰そう】mixidea高校定期練習,警察の暴力の投稿奨励,1.666666667
12,【デュエルしようぜ】mixidea高校定期練習,決闘の合法化,2
13,【子なし世帯への重課税!？】mixidea高校定期練習 【もりかんのやさしみ溢れるRFD】,子無し世帯への課税,3
14,【小石川高校 vs WSDC連合】高校定期練【高校生のバイトって実際どうなん】,高校生のバイト,4
15,【政治家の私生活報道】mixidea定期高校練習,政治家の私生活報道,3.333333333
16,【民営化 vs 国営化】mixidea高校定期練習,性産業国有化,3
17,【確かに戦隊モノって女性ヒーローいないよに】mixidea高校定期練習,女性ヒーローリーダー,2
18,銀杏杯 2016 Oct. Gov.NitA Opp.KDS,身代金違法化1,2.333333333
19,銀杏杯 Pre-Oct gov JOINTB vs opp HitU-E,治療拒否権への介入,3.666666667
20,銀杏杯2016 Oct Fainal gov JOINT B vs. opp Kyoto B,身代金違法化2,1.666666667
